name,review,date,rating
Sunil Ram,"My payment has not done yet really worst service from u r end ...so far I was using the app ,I taught it is great app but 183000 I have paid but today is due date still it is not reflecting in ma card sorry to write ....worst ever service from cred...",a year ago, 1 star 
Dr. Reshma Chengappa,One payment failed four times and all the time it is debited to my account.. even though  raised the issues in chat there seems to be no response.,a year ago, 1 star 
Rahul Sharma,Customer support is not even exist in cred i am chasing from last 15 days still no response yet. i want to know do you guys work only those who rated you one star on google and then you take it up. I am still awaiting your response reason …,a year ago, 1 star 
Kiran Uppunda,"Amount has been deducted but not received. Email response takes too much time.
And in response, they say payment is received by bank, but when I contact bank they say it’s not received. And the payments done is not seen in unbilled transactions too. So I’m trusting bank now, not CRED.

Horrible experience.",a year ago, 1 star 
Arpanjot Singh gill,Dc. Eddie Cibrian on Monday and,6 months ago, 5 stars 
nitin nirmal,"I have made transaction 25353 INR for my SBI credit card. On 8 may 2019.

As per Bank & UPI transaction is successful.

But amount not  deposited in Credit card.

Due to that  now I have to pay due amount.

For CRED their is lack of service …",a year ago, 1 star 
Samrat Ray,Money got deducted but NOT Paid to credit card bank. It is with CRED account but they are not able to reverse it ... Support email group doesnt have a clue and asking my bank statements .. but even after sending it they are not able to do anything ...,a year ago, 1 star 
soham dutta,I am a regular user of Cred. But the reviews are really horrifying. Thinking of not using this app anymore. Sorry Cred team you might have just lost a user.,a year ago, 3 stars 
Mohammed Sufiyan,Very nice app,5 months ago, 5 stars 
Preet Singh Khalsa,"fast payments and exclusive rewards, love it!",8 months ago, 5 stars 
Vaitheeswaran S,Must have app for credit card users!,7 months ago, 5 stars 
Eswar Voona,"Very good app giving excellent offers on reward points but Credit card Bill not generating on time, this is the drawback.",2 years ago, 5 stars 
suman v,"Please don't download this app worst customer service team the payment will not process on time
To card this is big fraud company providing wrong utr number",a year ago, 1 star 
kumar adarsh,"Money got deducted not credited to bank from last 5 days ,no customer care don't  know what to do
Pay my money back won't use the app ever",a year ago, 1 star 
jai amrit raj,"Hi,
I had my credit card payment on Apr 27 of Rs 45000/-;the refund was initiated for the same with TX ID ""VK5P10XNPK"".

I had set up my bank details in the app..still no refund???

Can you make immediately to my account; I need to pay to the credit card before default date tomorrow?",2 years ago, 1 star 
Prakash Srivastava,My failed card payment is not yet refunded even after 5 days,11 months ago, 1 star 
Santhosh Kumar,"using cred app from last 3 months, successful transactions are happening all the time, kill the bill is kind of good, but the reward program is absolute trash, i have around 100000 cred points and there is nothing to redeem which is worthy, …",2 years ago, 3 stars 
ravitheja y b,"i paid my credit card payment through almost 72 hours completed still
they dint credit my amount in to my credit card .customer support is not good they wont reply.",a year ago, 1 star 
Ashok Shinde,Damn the UI look like it is from next world. Also I can pay my rent using credit card. Keep growing ☺️,7 months ago, 5 stars 
Sairam Karimi,Issues not solved,4 months ago, 1 star 
Rajsekhar G,"Thanks for the inputs. I have been seing the Ads for a while and thought of trying this. Reviews is really scaring, so no more try.",a year ago, 1 star 
Prasanna Akella,Great place to work,7 months ago, 5 stars 
Bharathi Rajan,Great super App,7 months ago, 5 stars 
Shorya Jain,Great place to work at,7 months ago, 5 stars 
Manas Mallik,Must have app of You have have multiple cards or have multiple cards,7 months ago, 5 stars 
Rohith Suresh,Cred Rent Pay: I transferred rent through UPI. The amount is debited and the transaction has failed. It has been 6 days and the money is not returned back. The worst part is there is no way to contact the customer support. You can only write an email to them!,11 months ago, 1 star 
Suraj Dhondale,Great app.,7 months ago, 5 stars 
Guru Prasad,Don't use this application.Dont lose your money.I had very bad experience with cred.Please don't be fool.I lost 7143 Rs..they have very bad customer service and they will make you wait for 40 mins.I have bad experience,5 months ago, 1 star 
Dileep Damodaran,Most awesome credit card management & reward app ever,2 years ago, 5 stars 
Susheel Kumar,"Today I downloaded the app and started using it.
At the very first payment itself I ended up with Payment error. Money got deducted & but payment failed. There is no personal contact touch. They mention to wait for5-7 days . What if today is my due day to pay bill . Will they take responsibility of the effect on my CIBIL score!",2 years ago, 1 star 
Ajay Naik,Use the app only if you're paying your bill at least 4 days before the due date.can't trust the app for payments made two days before the due date.,a year ago, 2 stars 
Akshay CS,Money got debited from Bank not applied to Credit card. Need help on this,a year ago, 1 star 
Rahul Harkisanka,The most awesome credit card management and rewards app ever.,2 years ago, 5 stars 
chandrashekar N,I paid the credit card bill around 48k but payment got failed and money debited from my account. Their is no gud support. How can we trust the cred?,a year ago, 1 star 
Adhi S K,"Thanks for your reviews, which had helped me to not to use this, there Adds were tempting me to use it, and also some one sent me a link to install. reviews are saver.",a year ago, 1 star 
Ganesh Vispute,Never use this platform. Payment failed inspite the amount is credited to cred clubs account. Till date i am waiting for refund. Also  if you contact support by mail they do not bother to respond.,a year ago, 1 star 
Gautham Prabhu,Awsome app \m/,a year ago, 5 stars 
The Fire,"Thanks for reviews, I was about to install the APP to start using. Not any more.",a year ago, 1 star 
Vamsi_Gurram,It’s not  right platform  to make credit card payments   .The amount is not crediting to card in mentioned time stamp.Which impacting late in payment and getting charges of late payment fees.Mainly our cibil score is also impacting.,a year ago, 1 star 
SACHIN SREEKUMAR,"Good service, would love more Amazon though",a year ago, 5 stars 
bilal . babs,Great office,7 months ago, 5 stars 
Charu Subramanian,Wonderful app,7 months ago, 5 stars 
Ajay Budharam Dakhane,Best app,7 months ago, 5 stars 
Amit Kumar Das,"Great concept by Shah ji.
Absolutely loving it.",2 years ago, 5 stars 
Pooja A,Poor management and staff. Disappointed with the way they treat customers.,a year ago, 1 star 
Tanvi Kamble,Awesome App,7 months ago, 5 stars 
Ashwin Mani,Wonderful app,7 months ago, 5 stars 
Preshita Rahate,Amazing app,7 months ago, 5 stars 
a aa,Best app,7 months ago, 5 stars 
A G,"There's no way to speak to these guys, when the transactions are all about money 💰.... I've a payment made on 4 October yet to get credit",a year ago, 1 star 
Venkatesh chowdhary,Is Worst experience,6 months ago, 1 star 
Ayush Kumar,The place where magic happens,7 months ago, 5 stars 
Avijit Das,"this is a fraud company. i paid 20k for my credit card, which didn't got credited to my credit card. their applet says successful and i received sms saying it failed. am going to take this fraud company to court",a year ago, 1 star 
yaswini priya,"I have made my CC payment on CRED using UPI..money got deducted but payment failed.I was not able to contact CRED support ,raised a ticket but no response...any suggestions on how can I reach out to them?",a year ago, 1 star 
Sushree Bose,"Solid stuff, maybe more free rewards",a year ago, 5 stars 
Wasim Akram,"What an initiative and the concept for paying on time, I'm just loving the concept and the offers. 😊🤟🤟",2 years ago, 5 stars 
divyanshu jain,Great ambience,8 months ago, 5 stars 
Liberal Thinker,Frauds don't use it for credit card payments,a year ago, 1 star 
Amitabh Kishore,Most rewarding app.,a year ago, 5 stars 
Surya Kashyap,"worst experience,  my payment is trapped in this app and I'm being offended as defaulter from banks, no customer care to resolve your problems,  only a auto ticket raising mail id is given which says we will try to resolve your problems …",2 years ago, 1 star 
Chandan Kumar Panda,Please stop your ad in ipl the wrost ad i ever seen😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡,7 months ago, 1 star 
shane waris niyaz ahmed,worst,a year ago, 1 star 
Peter Francis,Interview process is slower than tortoise,a year ago, 1 star 
Prasad Kumar Vetcha,Not Safe.Not safe guarding the card payment,a year ago, 1 star 
Lisa Marie Boye,Best place to work!,a year ago, 5 stars 
Sneha Kannan,Love the app!,a year ago, 5 stars 
sunita das,Office infrastructure is not that great,a year ago, 1 star 
Rishabh Srivastava,Nice.,a year ago, 5 stars 
kavya anchan,Awesome rewards,a year ago, 5 stars 
vk v,,7 months ago, 5 stars 
Abhishek jaiswal,,8 months ago, 5 stars 
Sathyakumar Radhakrishnan,,7 months ago, 5 stars 
Aryan W,,7 months ago, 5 stars 
Krunal Chauhan,,7 months ago, 5 stars 
PR,,8 months ago, 5 stars 
Chirag Mittal,,8 months ago, 5 stars 
pritam roy,,7 months ago, 5 stars 
Swamy Seetharaman,,7 months ago, 5 stars 
Sahil Bhatia,,a year ago, 5 stars 
Aqel Ahammad,,7 months ago, 5 stars 
Ashwani,,8 months ago, 5 stars 
Nikunj sharma,,7 months ago, 5 stars 
Mohit Sidhwani,,a year ago, 5 stars 
Akhil Mahendra,,7 months ago, 5 stars 
Udayan Walvekar,,7 months ago, 5 stars 
Sahil Bhagtani,,8 months ago, 5 stars 
VIJAY PATEL,,a year ago, 1 star 
Karthik Revanuru,,7 months ago, 5 stars 
Sathya Kumar,,7 months ago, 5 stars 
Ketan Jogani,,5 months ago, 5 stars 
Shubham Jha,,7 months ago, 5 stars 
Aman Taneja,,7 months ago, 5 stars 
Rishabh Singh Bisht,,7 months ago, 5 stars 
prashant shrivastava,,7 months ago, 5 stars 
Lakshya Ghuliani,,7 months ago, 5 stars 
Yash Prasad,,8 months ago, 5 stars 
Rishank Jain,,7 months ago, 5 stars 
Abhishek Shirgaokar,,7 months ago, 5 stars 
vignesh shrinivasan,,7 months ago, 5 stars 
Pranjal Ramawat,,4 months ago, 5 stars 
kumar vinay,,a month ago, 1 star 
Abhishek N,,7 months ago, 5 stars 
Hari ram,,7 months ago, 5 stars 
Waseem Khan,,3 months ago, 1 star 
Mohini Asthana,,10 months ago, 4 stars 
Jinal Bhatt,,7 months ago, 5 stars 
anish karan,,4 months ago, 5 stars 
Sheeba Khan,,a year ago, 5 stars 
Abdullah Abdullateef,,7 months ago, 5 stars 
Hriday Bradoo,,8 months ago, 5 stars 
AMOL DALAL,,7 months ago, 5 stars 
Pupkitt Pet Care,,7 months ago, 5 stars 
Ishan Kansal,,8 months ago, 5 stars 
kanhaiya agarwal,,8 months ago, 5 stars 
Vaibhavi Sonavane,,7 months ago, 5 stars 
Ambarish Nayak,,a year ago, 5 stars 
Deepanshu Deepanshu,,4 months ago, 5 stars 
Avishek Bhattacharya,,a year ago, 1 star 
Ketan Jogani,,5 months ago, 5 stars 
Tejas B,,7 months ago, 5 stars 
nandini gangal,,8 months ago, 5 stars 
Ranjith Nair,,3 months ago, 5 stars 
Madhur Kapadia,,7 months ago, 5 stars 
Home BYP,,a year ago, 5 stars 
Madhoor Ravikumar Dhuginar,,7 months ago, 5 stars 
MOHSIN KHAN,,5 months ago, 5 stars 
Arun Kumar Kadaganchi,,2 years ago, 5 stars 
Surya Tej Singh,,a month ago, 5 stars 
AJITH VATSA,,11 months ago, 5 stars 
Kishan Raibagi,,a year ago, 5 stars 
Saniya K,,7 months ago, 5 stars 
Sachin Raj,,a year ago, 5 stars 
Hanami D,,7 months ago, 5 stars 
Sucheta RayChaudhari,,7 months ago, 5 stars 
Goutami S,,7 months ago, 5 stars 
Anurag Pandey,,8 months ago, 5 stars 
karandeep singh,,4 months ago, 5 stars 
Moksha Malyavantham,,a year ago, 5 stars 
Indrajith Baby,,8 months ago, 5 stars 
Manjunath.K Manjuu,,7 months ago, 5 stars 
Vivek Kumar,,7 months ago, 5 stars 
Lakshya Ghuliani,,7 months ago, 5 stars 
Teddy Thulasi,,7 months ago, 5 stars 
Pradeep Shukla,,a year ago, 1 star 
angela pereira,,a year ago, 5 stars 
Uma Shanthi,,7 months ago, 5 stars 
Himanshu Singh,,8 months ago, 5 stars 
Kenneth Thomas,,7 months ago, 5 stars 
Sujay T G,,a year ago, 5 stars 
paresh jain,,a year ago, 5 stars 
puneet jain,,7 months ago, 5 stars 
Amal Krishna,,8 months ago, 5 stars 
vinita das,,7 months ago, 5 stars 
Irene Titus,,7 months ago, 5 stars 
Gaurika jain,,10 months ago, 5 stars 
Adarsh Sunil,,a year ago, 5 stars 
Samir Saiyed,,5 months ago, 1 star 
Indrajith Baby,,7 months ago, 5 stars 
Manas Mallik,,7 months ago, 5 stars 
Raghvendra Tripathi,,a year ago, 4 stars 
Mayur Kapadia,,9 months ago, 5 stars 
Vishnu Rajendranath,,a year ago, 1 star 
Dhanesh Prem,,2 years ago, 5 stars 
sachin george,,7 months ago, 5 stars 
Alakshendra Sharma,,8 months ago, 5 stars 
Rashid Feroz,,8 months ago, 5 stars 
Rahul Ravi,,7 months ago, 5 stars 
Hareesh Tr,,7 months ago, 5 stars 
Rajeshwari Sharma,,7 months ago, 5 stars 
Shashank Baveja,,7 months ago, 5 stars 
Abdullah Abdullateef,,4 months ago, 5 stars 
yashodha.k Gowda,,7 months ago, 5 stars 
Shivam Agarwal,,8 months ago, 5 stars 
Sayan Datta,,a year ago, 5 stars 
Akshay Devazya,,4 months ago, 5 stars 
RUPESH KUMAR,,5 months ago, 1 star 
Deepanshu Singhania,,8 months ago, 5 stars 
Kunal Dakhane,,8 months ago, 5 stars 
Nabanita Poddar,,a year ago, 5 stars 
leocder #,,7 months ago, 5 stars 
Rohit Sirohia,,7 months ago, 5 stars 
Vipul Rathore,,7 months ago, 5 stars 
mohd azam,,6 months ago, 1 star 
Rohit Pal,,7 months ago, 5 stars 
Kannada entertainment Psk race collection,,a month ago, 1 star 
Sanket Wani,,8 months ago, 5 stars 
Chandra Maloo,,8 months ago, 5 stars 
Vivek Kumar,,7 months ago, 5 stars 
AKHIL Somasekharan,,11 months ago, 5 stars 
Arun Padiyan,,8 months ago, 5 stars 
Srikar Yaganti,,7 months ago, 5 stars 
Meghna Swami,,7 months ago, 5 stars 
prashant mudgal,,8 months ago, 5 stars 
Rushika world,,a year ago, 1 star 
Debanjani Das,,a year ago, 5 stars 
Anshuman Kirty,,a year ago, 5 stars 
Shankar Kinagi,,7 months ago, 5 stars 
Pooja Harshan,,7 months ago, 5 stars 
naveen shankardutt,,7 months ago, 5 stars 
sudan s,,a year ago, 5 stars 
Resham Nanwani,,8 months ago, 5 stars 
Amlanjyoti Saikia,,4 months ago, 5 stars 
ROHIT ASHOK,,a year ago, 5 stars 
Rahul Ravi,,a month ago, 5 stars 
Aswathy Unnikrishnan,,7 months ago, 5 stars 
Rohit Kothawade,,7 months ago, 5 stars 
Mohd Shadab Shaikh,,a month ago, 5 stars 
Priyanka Kumari,,a year ago, 5 stars 
chandu reddivari,,a year ago, 1 star 
Siddharth S Nair,,7 months ago, 5 stars 
Anoop Kumar,,a year ago, 5 stars 
Roshni Mukherjee,,5 months ago, 5 stars 
Deepak chaurasia,,a year ago, 1 star 
Hriday Bradoo,,7 months ago, 5 stars 
Testy Tester,,7 months ago, 5 stars 
Suryabhargav Garigipati,,a year ago, 5 stars 
Lakshya Ghuliani,,7 months ago, 5 stars 
RISHANK MAHENDRA KOTHARI,,7 months ago, 5 stars 
ALSHAMAD RAHAMATHULLA,,3 months ago, 5 stars 
Himanshu Kumar Das,,7 months ago, 5 stars 
Arun Padyan,,7 months ago, 5 stars 
Knight Watchmen,,7 months ago, 5 stars 
Srinivas Iyengar,,8 months ago, 5 stars 
Prashanth,,2 years ago, 5 stars 
krishna polamreddy,,a year ago, 1 star 
Raunak Choudhary,,7 months ago, 5 stars 
Shilpa Kannan,,7 months ago, 5 stars 
Abrar Khan,,5 months ago, 5 stars 
Raunak Choudhary,,7 months ago, 5 stars 
Karan Arora,,8 months ago, 5 stars 
Zoran Zoref,,a year ago, 5 stars 
Nikhill Satish,,7 months ago, 5 stars 
Ashwin Subramanian,,a year ago, 5 stars 
Mrigank Bhargava,,7 months ago, 5 stars 
vidya shree,,a year ago, 5 stars 
Reshma Krishnan,,7 months ago, 5 stars 
Jerin Thomas,,2 months ago, 5 stars 
VACURECT INDIA (P) LTD,,a year ago, 1 star 
Vivek Sirwani,,7 months ago, 5 stars 
